"GroupNumber","FilePath","FileName","FileSize","LastModified","Hash"
"4269","C:\Users\louie\Documents\Project\Capstone\Images\00005120.jpg","00005120.jpg","31.64 KB","18/10/2024 8:33:45 am","1d55cfae27355963f91f998f1094f6bf"
"4270","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\.venv\Lib\site-packages\idna\uts46data.py","uts46data.py","201.66 KB","21/7/2024 3:50:00 pm","1d55cfae27355963f91f998f1094f6bf"
"4270","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\.venv\Lib\site-packages\pip\_vendor\idna\uts46data.py","uts46data.py","201.66 KB","21/7/2024 3:10:30 pm","1d55cfae27355963f91f998f1094f6bf"
"4271","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002493.jpg","00002493.jpg","30.78 KB","15/10/2024 10:25:16 pm","1d55cfae27355963f91f998f1094f6bf"
"4271","C:\Users\louie\Documents\Project\Capstone\Images\00002493.jpg","00002493.jpg","30.78 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4272","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00001504.jpg","00001504.jpg","26.48 KB","15/10/2024 10:25:01 pm","1d55cfae27355963f91f998f1094f6bf"
"4272","C:\Users\louie\Documents\Project\Capstone\Images\00001504.jpg","00001504.jpg","26.48 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4273","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002639.jpg","00002639.jpg","32.04 KB","15/10/2024 10:25:18 pm","1d55cfae27355963f91f998f1094f6bf"
"4273","C:\Users\louie\Documents\Project\Capstone\Images\00002639.jpg","00002639.jpg","32.04 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4274","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000551.jpg","00000551.jpg","25.75 KB","15/10/2024 10:24:47 pm","1d55cfae27355963f91f998f1094f6bf"
"4274","C:\Users\louie\Documents\Project\Capstone\Images\00000551.jpg","00000551.jpg","25.75 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\avodaq-bootcamp\.mypy_cache\3.13\time.data.json","time.data.json","40.73 KB","23/6/2025 10:27:36 am","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\avodaq-clean\.mypy_cache\3.13\time.data.json","time.data.json","40.73 KB","23/6/2025 10:27:36 am","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\PCSO Predictions\.mypy_cache\3.10\time.data.json","time.data.json","40.73 KB","16/4/2025 5:48:06 pm","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\PCSO Predictions\.mypy_cache\3.12\time.data.json","time.data.json","40.73 KB","16/4/2025 5:55:10 pm","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\PCSO Predictions\.mypy_cache\3.13\time.data.json","time.data.json","40.73 KB","12/4/2025 9:36:44 am","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\TinMBA\.mypy_cache\3.10\time.data.json","time.data.json","40.73 KB","19/7/2025 4:38:22 pm","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\VCEProject\.mypy_cache\3.10\time.data.json","time.data.json","40.73 KB","24/5/2025 9:50:44 pm","1d55cfae27355963f91f998f1094f6bf"
"4275","C:\Users\louie\Documents\GitProject\VCEProject\.mypy_cache\3.12\time.data.json","time.data.json","40.73 KB","24/5/2025 5:33:16 pm","1d55cfae27355963f91f998f1094f6bf"
"4276","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000082.jpg","00000082.jpg","29.96 KB","15/10/2024 10:24:40 pm","1d55cfae27355963f91f998f1094f6bf"
"4276","C:\Users\louie\Documents\Project\Capstone\Images\00000082.jpg","00000082.jpg","29.96 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4277","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00002469.jpg","00002469.jpg","24.34 KB","15/10/2024 10:25:16 pm","1d55cfae27355963f91f998f1094f6bf"
"4277","C:\Users\louie\Documents\Project\Capstone\Images\00002469.jpg","00002469.jpg","24.34 KB","18/10/2024 8:33:43 am","1d55cfae27355963f91f998f1094f6bf"
"4278","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00004795.jpg","00004795.jpg","17.76 KB","15/10/2024 10:25:51 pm","1d55cfae27355963f91f998f1094f6bf"
"4278","C:\Users\louie\Documents\Project\Capstone\Images\00004795.jpg","00004795.jpg","17.76 KB","18/10/2024 8:33:44 am","1d55cfae27355963f91f998f1094f6bf"
"4279","C:\Users\louie\Documents\Caltech Post Graduate Program in AI and Machine Learning\Capstone\CapProject\Part1\Images\00000641.jpg","00000641.jpg","25.63 KB","15/10/2024 10:24:49 pm","1d55cfae27355963f91f998f1094f6bf"
"4279","C:\Users\louie\Documents\Project\Capstone\Images\00000641.jpg","00000641.jpg","25.63 KB","18/10/2024 8:33:42 am","1d55cfae27355963f91f998f1094f6bf"
"4280","C:\Users\louie\Documents\GitProject\.mypy_cache\3.12\numpy\lib\ufunclike.data.json","ufunclike.data.json","37.96 KB","1/2/2025 1:28:00 pm","1d55cfae27355963f91f998f1094f6bf"
